datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,conditions
2020-03-04,23.0,17.0,19.1,23.0,17.0,19.1,16.9,87.2,19.317,16.67,rain,41.8,31.7,38.2,1016.7,75.3,9.2,48.9,4.2,0.32,"Rain, Partially cloudy"
2020-03-05,18.0,15.0,16.7,18.0,15.0,16.7,13.9,83.9,0.502,8.33,rain,18.4,17.5,36.9,1018.6,80.5,9.8,34.2,3.2,0.35,"Rain, Partially cloudy"
2020-03-06,23.3,16.0,19.6,23.3,16.0,19.6,16.4,82.7,0.101,4.17,rain,23.8,15.7,95.6,1014.5,82.2,6.7,141.6,12.2,0.38,"Rain, Partially cloudy"
2020-03-07,24.0,19.0,21.6,24.0,19.0,21.6,18.8,84.4,0.199,8.33,rain,23.8,12.1,118.1,1010.9,82.3,5.7,175.2,15.2,0.42,"Rain, Partially cloudy"
2020-03-08,29.5,21.0,24.5,32.7,21.0,25.2,21.0,82.3,0.099,4.17,rain,21.6,16.6,105.6,1005.3,50.4,5.5,230.4,20.0,0.45,"Rain, Partially cloudy"
2020-03-09,33.8,22.5,27.1,35.1,22.5,28.2,21.4,73.7,0.0,0.0,noprecip,26.6,12.1,70.6,1004.2,29.0,5.7,256.1,22.1,0.48,Partially cloudy
2020-03-10,26.4,22.5,24.3,26.4,22.5,24.3,16.8,65.0,1.4,16.67,rain,31.0,25.0,37.8,1012.4,80.5,8.5,65.3,5.7,0.5,"Rain, Partially cloudy"
2020-03-11,24.1,21.0,22.4,24.1,21.0,22.4,16.4,69.3,0.0,0.0,noprecip,14.0,16.6,119.2,1014.3,75.1,8.6,70.6,6.1,0.55,Partially cloudy
2020-03-12,25.1,20.0,22.6,25.1,20.0,22.6,19.6,84.0,0.099,4.17,rain,24.8,13.0,110.8,1011.8,86.6,5.4,158.8,13.7,0.58,"Rain, Partially cloudy"
2020-03-13,28.0,22.7,24.8,30.9,22.7,25.4,22.1,85.6,0.201,8.33,rain,25.2,16.6,90.1,1012.6,80.0,5.1,143.7,12.4,0.62,"Rain, Partially cloudy"
2020-03-14,25.0,21.0,22.5,25.0,21.0,22.5,17.8,75.1,0.51,8.33,rain,27.0,18.4,40.2,1016.8,92.8,9.1,48.0,4.1,0.65,"Rain, Overcast"
2020-03-15,21.5,19.0,20.1,21.5,19.0,20.1,16.4,79.3,0.8,25.0,rain,15.5,10.3,54.5,1017.4,90.0,7.4,53.7,4.7,0.69,"Rain, Partially cloudy"
2020-03-16,21.8,19.0,20.3,21.8,19.0,20.3,19.0,92.4,0.199,12.5,rain,23.0,9.4,71.2,1015.4,86.0,2.6,100.2,8.5,0.75,"Rain, Partially cloudy"
2020-03-17,23.5,20.0,21.7,23.5,20.0,21.7,20.7,93.8,3.063,12.5,rain,31.0,19.4,61.3,1014.9,90.9,3.2,99.9,8.6,0.75,"Rain, Overcast"
2020-03-18,19.9,18.0,18.8,19.9,18.0,18.8,17.5,92.7,11.892,8.33,rain,26.6,20.4,41.5,1013.4,78.0,7.0,38.5,3.2,0.79,"Rain, Partially cloudy"
2020-03-19,21.5,18.0,19.5,21.5,18.0,19.5,17.0,85.7,1.745,8.33,rain,23.0,15.7,358.5,1014.0,84.6,8.2,46.0,4.0,0.82,"Rain, Partially cloudy"
2020-03-20,25.0,19.0,21.9,25.0,19.0,21.9,17.9,79.1,0.2,8.33,rain,20.5,18.4,94.5,1013.2,80.5,8.7,103.8,8.9,0.86,"Rain, Partially cloudy"
2020-03-21,27.2,21.0,23.9,29.4,21.0,24.2,21.0,84.1,0.004,8.33,rain,27.4,17.5,129.0,1011.8,74.0,6.2,134.8,11.5,0.89,"Rain, Partially cloudy"
2020-03-22,28.5,23.6,25.3,31.9,23.6,26.0,22.7,85.5,2.977,12.5,rain,24.8,19.4,129.3,1011.7,80.3,6.8,140.4,12.1,0.93,"Rain, Partially cloudy"
2020-03-23,27.5,23.0,24.7,30.0,23.0,25.0,22.2,86.6,2.078,8.33,rain,29.5,14.7,122.5,1012.3,63.8,6.5,123.0,10.6,0.96,"Rain, Partially cloudy"
2020-03-24,29.0,22.5,25.6,31.0,22.5,26.2,21.2,78.4,0.396,4.17,rain,34.9,22.3,130.8,1011.6,50.6,8.2,186.7,16.1,0.0,"Rain, Partially cloudy"
2020-03-25,28.2,24.0,25.7,30.9,24.0,26.4,22.0,81.0,7.0,54.17,rain,40.7,25.9,145.9,1009.7,62.0,9.2,158.8,13.8,0.03,"Rain, Partially cloudy"
2020-03-26,29.2,24.0,26.4,33.4,24.0,27.6,22.7,80.2,0.989,4.17,rain,31.7,23.2,138.8,1008.9,75.6,10.0,194.8,16.9,0.06,"Rain, Partially cloudy"
2020-03-27,29.4,25.0,26.8,33.3,25.0,28.2,23.1,80.9,0.2,8.33,rain,24.1,18.4,123.2,1008.6,74.5,9.5,206.7,17.8,0.1,"Rain, Partially cloudy"
2020-03-28,28.5,24.0,25.9,31.1,24.0,26.5,22.5,81.8,4.6,45.83,rain,38.5,22.3,123.8,1009.8,79.3,8.4,46.7,3.9,0.13,"Rain, Partially cloudy"
2020-03-29,28.0,22.0,24.7,31.8,22.0,25.2,22.4,86.8,0.002,4.17,rain,31.0,25.9,127.1,1008.0,87.1,7.8,95.4,8.2,0.16,"Rain, Partially cloudy"
2020-03-30,25.4,17.0,20.8,25.4,17.0,20.8,18.5,86.9,0.001,4.17,rain,32.8,26.8,63.3,1009.1,88.0,8.2,63.1,5.4,0.2,"Rain, Partially cloudy"
2020-03-31,19.5,17.5,18.5,19.5,17.5,18.5,15.7,84.0,0.793,4.17,rain,25.2,19.4,30.1,1012.2,87.9,8.6,63.2,5.4,0.23,"Rain, Partially cloudy"
2020-04-01,21.7,17.0,19.3,21.7,17.0,19.3,15.9,80.7,0.001,4.17,rain,18.0,13.0,32.4,1012.9,84.0,9.2,82.1,7.0,0.25,"Rain, Partially cloudy"
