datetime,target_temp,target_conditions,temp_lag_12AM,feelslike_lag_12AM,humidity_lag_12AM,dew_lag_12AM,precip_lag_12AM,snow_lag_12AM,preciptype_lag_12AM,windgust_lag_12AM,windspeed_lag_12AM,pressure_lag_12AM,visibility_lag_12AM,cloudcover_lag_12AM,conditions_lag_12AM,winddir_sin_lag_12AM,winddir_cos_lag_12AM,tempmax_lag,tempmin_lag,temp_lag,feelslikemax_lag,feelslikemin_lag,feelslike_lag,dew_lag,humidity_lag,precip_lag,precipcover_lag,preciptype_lag,windgust_lag,windspeed_lag,sealevelpressure_lag,cloudcover_lag,visibility_lag,solarradiation_lag,solarenergy_lag,conditions_lag,winddir_sin_lag,winddir_cos_lag,rolling_precip_3day,day_of_year_sin,day_of_year_cos,winddir_diff_2h,winddir_diff_day,cloud_cover_trend_2h,diurnal_temp_range,dewpoint_depression,humidity_momentum,pressure_trend_overnight
2020-02-12,20.4,Rain,19.0,19.0,88.2,17.0,0.0,0.0,noprecip,0.0,3.6,1017.0,5.0,69.9,Cloudy,-0.7660444431189781,0.6427876096865393,23.7,16.0,18.9,23.7,16.0,18.9,16.3,85.5,0.1,4.17,rain,23.8,14.8,1018.0,80.7,4.7,92.0,8.0,Rain,0.9777832367586062,-0.2096185629038217,1.351,0.6740694616546161,0.7386679638813748,50.0,152.10000000000002,-27.89999999999999,7.699999999999999,2.0,0.9000000000000057,-0.8999999999999773
2020-02-13,21.2,Rain,21.0,21.0,94.0,20.0,0.0,0.0,noprecip,0.0,9.4,1014.0,4.0,89.0,Cloudy,0.6427876096865395,-0.7660444431189779,23.4,18.0,20.4,23.4,18.0,20.4,18.4,88.9,0.397,12.5,rain,19.1,12.9,1015.1,78.3,4.0,68.6,5.9,Rain,0.8171448983351286,-0.5764323161697932,0.5960000000000001,0.6866759803451553,0.726963615332308,5.0,14.800000000000011,-8.799999999999997,5.399999999999999,1.0,0.0,-0.39999999999997726
2020-02-14,23.5,Rain,22.0,22.0,94.1,21.0,0.0,0.0,noprecip,0.0,7.6,1009.0,3.0,89.0,Cloudy,0.90630778703665,-0.42261826174069933,22.5,20.0,21.2,22.5,20.0,21.2,20.3,94.6,3.07,8.33,rain,29.5,14.8,1011.1,92.7,2.9,78.8,6.9,Rain,0.953190667792947,-0.3023698907504444,3.567,0.6990793005655562,0.7150441465537444,94.0,7.400000000000006,-8.799999999999997,2.5,1.0,-2.3000000000000114,-1.2999999999999545
2020-02-15,24.9,Rain,23.0,23.0,91.3,21.5,0.0,0.0,noprecip,0.0,12.1,1009.0,5.0,89.0,Cloudy,0.90630778703665,-0.42261826174069933,26.8,22.0,23.5,29.0,22.0,23.6,21.7,90.1,0.7,8.33,rain,24.5,22.3,1007.6,88.1,5.4,162.4,14.1,Rain,0.9735789028731603,-0.22835087011065577,4.167,0.7112757519738152,0.7029130847082615,23.0,11.800000000000011,-8.799999999999997,4.800000000000001,1.5,-1.0,-0.2999999999999545
2020-02-16,18.9,Rain,22.0,22.0,75.6,17.5,0.0,0.0,noprecip,0.0,26.8,1015.0,10.0,69.9,Cloudy,0.766044443118978,0.6427876096865394,28.5,23.0,24.9,31.1,23.0,25.4,22.0,84.9,0.002,4.17,rain,53.6,19.4,1009.4,68.6,7.2,133.1,11.5,Rain,0.985996037070505,-0.16676874671610223,3.772,0.7232617254437388,0.6905740195722294,38.0,49.599999999999994,-7.3999999999999915,5.5,4.5,-14.300000000000011,1.7999999999999545
2020-02-17,17.6,Cloudy,17.0,17.0,51.7,7.0,0.0,0.0,noprecip,0.0,7.6,1025.0,10.0,38.0,Cloudy,0.7071067811865475,0.7071067811865476,22.0,17.0,18.9,22.0,17.0,18.9,8.0,49.8,0.23,8.33,rain,40.3,28.6,1020.9,63.5,10.0,162.0,14.1,Rain,0.4383711467890774,0.898794046299167,0.9319999999999999,0.7350336741329412,0.6780306024735382,51.0,19.0,-62.0,5.0,10.0,2.8000000000000043,0.09999999999990905
2020-02-18,17.8,Cloudy,16.0,16.0,51.5,6.0,0.0,0.0,noprecip,0.0,6.5,1027.0,10.0,98.6,Cloudy,0.9659258262890683,0.25881904510252074,20.5,16.0,17.6,20.5,16.0,17.6,5.8,46.3,0.0,0.0,noprecip,28.8,18.6,1026.1,75.4,10.0,149.1,13.0,Cloudy,0.6266038113644604,0.7793379649314742,0.232,0.746588114532413,0.6652865452111116,15.0,36.19999999999999,-1.4000000000000057,4.5,10.0,6.799999999999997,-0.40000000000009095
2020-02-19,18.2,Cloudy,16.0,16.0,67.6,10.0,0.0,0.0,noprecip,0.0,7.6,1024.0,10.0,90.9,Cloudy,0.7071067811865476,-0.7071067811865475,21.1,15.0,17.8,21.1,15.0,17.8,5.5,46.1,0.0,0.0,noprecip,19.1,16.6,1024.8,59.6,10.1,177.7,15.4,Cloudy,0.9960410654107695,0.0888942968664416,0.23,0.7579216274973472,0.6523456189565257,7.0,50.099999999999994,50.900000000000006,6.100000000000001,6.0,-1.7000000000000028,-0.40000000000009095
2020-02-20,18.5,Rain,19.1,19.1,77.6,15.1,0.0,0.0,noprecip,0.0,9.4,1021.0,5.0,90.0,Cloudy,0.9396926207859084,-0.3420201433256687,21.9,15.0,18.2,21.9,15.0,18.2,11.1,64.3,0.0,0.0,noprecip,16.9,10.3,1022.3,72.5,9.2,156.0,13.5,Cloudy,0.8845809752150839,0.46638664033989125,0.0,0.7690308592589181,0.6392116531380588,17.0,47.80000000000001,0.20000000000000284,6.899999999999999,4.000000000000002,7.699999999999989,-0.7000000000000455
2020-02-21,19.2,Rain,18.0,18.0,88.1,16.0,0.0,0.0,noprecip,0.0,8.5,1023.0,1.5,69.1,Cloudy,-0.9659258262890682,0.25881904510252113,19.8,17.7,18.5,19.8,17.7,18.5,16.0,85.3,0.099,4.17,rain,16.2,12.1,1022.1,76.0,3.8,70.6,6.0,Rain,-0.8280603346224944,0.5606389945632418,0.099,0.7799125224167177,0.6258885343075018,13.0,19.100000000000023,-22.200000000000003,2.1000000000000014,2.0,-6.700000000000003,-0.8999999999999773
